date,ticker,open,high,low,close,volume
7/9/2023,FPT,47.9,48.4,47.8,48.35,2298900
7/10/2023,FPT,48.1,48.2,47.5,47.8,1164310
7/13/2023,FPT,48,48.95,47.75,48.65,2662490
7/14/2023,FPT,48.35,48.85,48.3,48.55,1549540
7/15/2023,FPT,48.75,48.95,48.4,48.6,1516540
7/16/2023,FPT,48.55,48.75,48.4,48.6,1060530
7/17/2023,FPT,48.5,48.5,48.1,48.1,1313100
7/20/2023,FPT,48.1,48.2,47.35,47.4,2049680
7/21/2023,FPT,47.5,47.95,47.25,47.8,940230
7/22/2023,FPT,48,48,47.3,47.4,817890
7/23/2023,FPT,47.4,47.75,47.1,47.75,918630
7/24/2023,FPT,47.4,47.55,45.5,45.9,3170540
7/27/2023,FPT,45,45.9,43.6,43.7,3274350
7/28/2023,FPT,44.4,45.8,44.15,45.7,1953510
7/29/2023,FPT,44.4,44.9,43.8,44.55,1554200
7/30/2023,FPT,44.6,45.15,44.6,45.15,612240
7/31/2023,FPT,44,45.2,44,44.5,1106250
8/3/2023,FPT,44.6,45.9,44.6,45.9,1392200
8/4/2023,FPT,46.5,46.8,46.2,46.55,1051310
8/5/2023,FPT,46.55,47.15,46.3,47,1328520
8/6/2023,FPT,47,47.25,46.7,46.8,1153660
8/7/2023,FPT,46.8,47.8,46.8,47.1,1283690
8/10/2023,FPT,47.35,47.8,47.1,47.2,1160370
8/11/2023,FPT,47.45,47.45,47,47,1209690
8/12/2023,FPT,47.1,47.5,46.9,47.5,1233230
8/13/2023,FPT,47.7,47.95,47.5,47.95,1709100
8/14/2023,FPT,48.1,48.2,47.45,47.8,1633770
8/17/2023,FPT,46.9,47,46.5,47,1048820
8/18/2023,FPT,47.15,47.15,46.8,46.85,625200
8/19/2023,FPT,46.9,47.05,46.65,46.85,877190
8/20/2023,FPT,46.9,47.45,46.85,47.05,1824430
8/21/2023,FPT,47.25,47.5,47.2,47.4,1260210
8/24/2023,FPT,47.95,48.6,47.85,48.45,3540210
8/25/2023,FPT,48.6,48.9,48.55,48.85,3304670
8/26/2023,FPT,48.8,48.85,48.2,48.4,1328990
8/27/2023,FPT,48.25,50.1,48.25,49.85,3724990
8/28/2023,FPT,50.2,51,49.9,49.9,4009380
8/31/2023,FPT,49.9,50.3,49.35,49.5,1940640
9/1/2023,FPT,49.5,50.5,49.35,49.9,1757410
9/3/2023,FPT,50.4,50.5,49.9,50.4,2281510
9/4/2023,FPT,49.6,50,49.5,50,1538510
9/7/2023,FPT,49.95,50,48.5,48.5,2270970
9/8/2023,FPT,48.75,49.5,48.5,49.5,1628870
9/9/2023,FPT,48.65,49.5,48.65,49.2,1490820
9/10/2023,FPT,49.5,49.8,49.1,49.2,1005950
9/11/2023,FPT,49,49.2,48.85,49.15,872160
9/14/2023,FPT,49.25,49.5,49.1,49.3,1127400
9/15/2023,FPT,49.5,50,49.3,50,1906730
9/16/2023,FPT,50,50.8,50,50.5,1918130
9/17/2023,FPT,50.3,50.5,49.9,50,1563010
9/18/2023,FPT,50.1,51.4,50.1,51.2,3306720
9/21/2023,FPT,51.2,51.7,51.2,51.2,1530250
9/22/2023,FPT,50.8,51.3,50.6,51.3,1630570
9/23/2023,FPT,51.3,51.5,50.8,51.1,1797680
9/24/2023,FPT,50.7,51,50.2,50.5,1728380
9/25/2023,FPT,50.7,50.8,50,50.8,1205550
9/28/2023,FPT,50.9,51.3,50.6,51.1,1312300
9/29/2023,FPT,51.4,51.4,50.3,50.6,1523610
9/30/2023,FPT,50.2,50.4,49.75,50,2500310
10/1/2023,FPT,50.2,50.8,50.2,50.8,905510
10/2/2023,FPT,50.8,51.1,49.4,50.3,1947940
10/5/2023,FPT,50.4,50.8,49.9,50.5,1498360
10/6/2023,FPT,50.8,50.9,50.3,50.5,1520290
10/7/2023,FPT,50.5,50.7,50.2,50.4,1493710
10/8/2023,FPT,50.5,51.5,50.3,51.1,3062690
10/9/2023,FPT,51,51.2,50.8,50.8,1173500
10/12/2023,FPT,50.9,51.4,50.6,50.9,1550680
10/13/2023,FPT,50.9,51,50.5,50.7,1222200
10/14/2023,FPT,50.8,51.4,50.5,51,2409760
10/15/2023,FPT,51.2,51.4,50.7,51.2,1925370
10/16/2023,FPT,51.2,53.8,50.9,53.2,5769540
10/19/2023,FPT,53.6,53.8,53,53.3,2333670
10/20/2023,FPT,53.1,53.3,52.5,53.2,1886160
10/21/2023,FPT,53.2,54.5,52.8,52.8,3305010
10/22/2023,FPT,52.8,54,52.6,54,2346540
